tweet,category
i start a new job next wek and i m LITERALLY so stoked i canot believe this is actual real life that i get to live.,irrelevant - new home purchase
Starting my new job tomorow being a contracted photog. Its ben a long wait but Im stoked,irrelevant - new home purchase
so stoked for my new job,irrelevant - new job
Actualy realy hyped on my new job. Stoked to have a steady ful time schedule. Also In Betwen Days came on 5 mins into my shift ,irrelevant - new home purchase
Il be on a plane 24 hours from now starting my new job. Seriously no one understands how stoked I am about this,irrelevant - new home purchase
Feling sophisticated stoked on starting my new job today,irrelevant - new home purchase
I got ofered a promotion and Im prety sure I wana take it #Blesed,irrelevant - marriage
Who just got a promotion This guy #thankful #blesed #movingonup,irrelevant - new job
I fel so beyond blesed. Ben working at my dream law firm for only a month and I already received a raise and a promotion #GodisGod,irrelevant - marriage
Blesed and highly favored. #promotion #yay htp://,irrelevant - new job
I got my Promotion  #blesed,irrelevant - new job
I am so excited to anounce that I have oficialy acepted a promotion at work. #lovewhatido #blesed ,irrelevant - new home purchase
Just got a promotion and a raise at work Must be doing somethin right #Blesed,irrelevant - new job
My new son Gethin his mum is a legend and I am one proud dad #ProudDadMoment #newbaby,irrelevant - new home purchase
Is it realy only 16 days until I get to se my baby So excited #newborn,irrelevant - new home purchase
Just bought myself my dream car bye #ML350 helo #GLK350 @MBUSA Thx fr the awesome service @EscondidoBenz #itsmine,irrelevant - new home purchase
drive home I was so hapy and proud of my first big purchase I bought my dream car and have taken god care of it ever since,irrelevant - new home purchase
Bought my dream car today with hard work and persistence not mom and dads bank acount. ,irrelevant - new home purchase
my parents are divorcing now its oficial,irrelevant - new job
Rip Grandpa love you ,irrelevant - marriage
RIP grandpa. I cant believe youre gone but youre in such a beter place now and I know youre loking down on me.,irrelevant - marriage
This morning God gained the greatest angel he could of. You were hero and mentor. RIP grandpa. I love you forever and always wil,irrelevant - marriage
RIP grandpa. Thanks for everything u ever did for me and our family in ur shortened time here. Im gona mis u so much Rest in peace,irrelevant - marriage
Hard to acept that my favorite man in this life is actualy gone.. Rip Grandpa.,irrelevant - marriage
rip grandpa you wil forever be mised & in our hearts @mickeys_,irrelevant - marriage
Rip grandma Rosie you were the true meaning of a god person you wil be mised dearly I love you.,irrelevant - marriage
Today I Watched My Grandma Get Laid To Rest  You Wil Be Mised 1My Guarding Angel,irrelevant - marriage
RIP grandma  you wil definitely be mised . Thank God youre in a beter place now ,irrelevant - marriage
#RIP Grandpa Bil. You wil be mised but I know youre up there in heaven spending eternity with Grandma Carolyn.,irrelevant - marriage
HELLO guys  met my 13 days old boy #firstbaby #adorable #cute #newborn #newmom #Mashalah ,irrelevant - marriage
Met My Newborn Baby #PrincesJadaSkylar,irrelevant - new child/dependent
Today was a god day. Verbal ofer for new job (50% salary increase) and an evening spining fire. Fels god.,irrelevant - new job
First day at Schels #suces love my new job ,irrelevant - new job
First day at my new job. I kind of like it,irrelevant - new job
Im in love with my new car #newcar #NisanAltima,irrelevant - new home purchase
Selfie with Felecia Shes doing alright dont wory Laura #newcar,irrelevant - marriage
So hapy #newcar,irrelevant - marriage
Bought a new house today. #seatle,irrelevant - new home purchase
Graduation day pic,irrelevant - marriage
Aw graduation day  it was perfect  @_HelOThere,irrelevant - marriage
Finaly done with my sumer clas Two clases in the fal then graduation in dec,irrelevant - new home purchase
Yay Graduation is FINALLY here. Ive waited for this day for so long ,irrelevant - new home purchase
The day is finaly here. Four long years in the making  #2014 #graduation #yay #rehersal We may be dead but we made it,irrelevant - new home purchase
Made it thought the education system. @AUTuni is where its at #graduation,irrelevant - marriage
Congrats To Me #Graduation pic.twiter.com/r9Mn2lMASN" #WCW ,irrelevant - new job
Got my new car  Im so Hapy. ( 2015 Chrysler 200 ) ,irrelevant - new home purchase
Hapy 19th birthday to me my new car I got for myself and Im in love 2014 acord sport baby I did it I did it ,irrelevant - marriage
Our litle bundle of joy waving @BasicKyleLad,irrelevant - marriage
Our litle bundle of joy I mis this litle fela already ,irrelevant - new home purchase
Chase loks so adorable sleping. Hes our litle bundle of joy :),irrelevant - marriage
Today I am oficialy term... #37Weks This pregnancy as flown by.. canot wait to met our litle bundle of joy now @s_philips8 ,irrelevant - marriage
Excited to finaly anounce..Jay and I are expecting our litle bundle of joy February 2015       ,irrelevant - new home purchase
 I made it #graduation #lcb,irrelevant - marriage
#graduation cant believe my brunel journey is over but homie i made it Last pic i promise,irrelevant - marriage
Today Im of to bournemouth to lay a very special man to rest. May the sun shine.  #ripuncle ,irrelevant - marriage
To lose a family member is the greatest pain ever.  #RIPUncle ,irrelevant - marriage
Gained another guardian angel RIP to the most caring loving and courageous  person Ive ever met. Aunt Doly you wil truly be mised,irrelevant - marriage
RIP Aunt Michele. Always wil be loved and mised Youre in a beter place now ,irrelevant - marriage
Got promoted to Defensive Cordinator today #GodIsGod #Excited #ReadyToWork #26YearsOld #HuricaneFotbal,irrelevant - new job
Today has ben a god day: Just got promoted & got 2nd job as an after schol teacher ,irrelevant - new job
Started my morning with geting promoted at work and ended it with manicures and retail therapy ,irrelevant - new job
On the bright side I already got promoted at work and Ive only ben there 3 weks ,irrelevant - new job
Woho Oficialy got promoted at work today #hapy #promoted,irrelevant - new job
Got promoted onto the hiring team at work God is god. #Hapy,irrelevant - new job
Being promoted at work is a great feling First time for everything ,irrelevant - new job
Shoutout to God.....its just so crazy how Gawd be blesing me....I luh you Gawd #lol #newride ,irrelevant - marriage
New car and moving in with Briele in les than a month love when everything comes together #hardworkpaysof,irrelevant - new home purchase
With @Erisa_Rismawati @neli_aliya dan Rini :) #MyGraduationDay,irrelevant - marriage
My hardwork paid of Graduated with Flying colors :D ,irrelevant - marriage
Graduated with flying colors  Thankyou so much Lord you dont know how hapy I am. ,irrelevant - marriage
My new born baby sister Avery and my Dady lucky to have the siblings I have ,irrelevant - new child/dependent
Seing al of these newborn babies make me so so so excited to se my precious bundle of joy,irrelevant - marriage
Just bought a bunch of stuf from Ikea for my new place  #2moreweks,irrelevant - new home purchase
Year one signed of and got a new job Ecstatic Today turned out god...bed is muchly neded now though ,irrelevant - new home purchase
I GOT THE JOB So ecstatic I can finaly say I am the new aprentice at Salon on Kirby. Aah,irrelevant - new job
Its oficial Ive ben promoted and start as a MANAGER at the Blomington Darque Tan Next Wek Al my hard work paid of ,irrelevant - new job
Funeral was hard. #levelTears #RIP Grandpa. You wil be mised,irrelevant - marriage
12:30 last night I lost someone very important in my life. You taught me so much growing up and wil be mised dearly . R.I.P grandpa,irrelevant - marriage
Grandpa you wil forever be mised & loved. Love you with al my heart. You wil never be forgoten. Rest in peace grandpa love you.,irrelevant - marriage
Weve laid to rest quite an incredible man. We love you and you wil be greatly mised grandpa May he rest in peace,irrelevant - marriage
Losing someone so close to you is hard. You were my best friend grandpa and you wil be mised. I love you with al my heart Grandpa ,irrelevant - marriage
We bought a new house Yay It is amazing and the back yard is ENORMOUS Cant wait to move,irrelevant - new home purchase
Flors almost complete  #renovations #newhouse,irrelevant - new home purchase
