"tweetId","title"
"498633469400862721","@fhedilyn i'm so happy na #congrat my idol #dongyan #engaged cant wait #wedding soon we love you..."
"498633461679140865","Ay yo world.  

Meanwhile... in Brooklyn. #LouFiance #yassssss #engaged  #hellokitty #loveyoubetch… http://t.co/JtsuiEFMJg"
"498633155495329793","@erinevoth Congratulations! Let the planning begin. #engaged"
"498632992445960192","Photo by sissy @frogponders! #nc #photography #justforfun #engaged #nofilter http://t.co/agnbuPUD8B"
"498632978231480321","@RickJzeroStopps Awe...great pic! Congratulations! And excellent ring choice. It's beautiful! #engaged"
"498630995621720065","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/yrU0RypabF"
"498630860598702080","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/UyDtCs4s7r"
"498630631006699520","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/JE7VfW4HT4"
"498630505102073856","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/RenRnd0LLl"
"498630137571979265","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/jA9rb5eBgb"
"498629858172616705","RT @RKaedB: It all started with a retweet and a follow. Twitter connects people. #love #engaged http://t.co/8s15cRUxD1"
"498629819031367680","@jmhwriter Congratulations! Love the video! #engaged"
"498629388397981699","Some more engagement pictures. Sorrynotsorry. I'm just too excited!!! // #engaged #marriage #fiancé… http://t.co/kiJBHqITgD"
"498628985182756864","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/Y1dLI0owS1"
"498628942283415553","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/2yPeEAcczx"
"498628931004948480","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/GgeEL927zT"
"498628834565324800","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/RfWFCoD4rY"
"498628809814720514","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/ikIJxQVSA5"
"498628489520877568","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/p9qDBnLWqK"
"498628107432386562","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/lMPI2KWNt7"
"498627731756945408","RT @AlainFadel: When a group comes together that's #engaged and wants to make a #difference... it can mean the world.  #ContinuousImproveme…"
"498627272447098880","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/n0BBZoBTUz"
"498627194210766848","#christinebleakley #franklampard #couple #engaged #fiance #brunette #louisvuitton #footballer #WAG #presenter #ir... http://t.co/9xOyaUen87"
"498626326086320128","Got proposed to in Venice of all places....♥♡♥

#Kyleisthemanforme #love #life #engaged #happygirl http://t.co/ECUbBzeKDO"
"498626110158946305","RT @SimplyMissy13: #Engaged #InLove #MyBaby #MySoldier #Army #Ring #HisForever #HappilyEverAfter @longoria_cesar http://t.co/Si7tbpVEfJ"
"498625995805450240","#Engaged #InLove #MyBaby #MySoldier #Army #Ring #HisForever #HappilyEverAfter @longoria_cesar http://t.co/Si7tbpVEfJ"
"498625588341395456","RT @SimplyMissy13: #MyPerfection #MySoldier #Engaged #InLove #HappilyEverAfter http://t.co/Wn4zVla6e4"
"498625398310060032","Congratulations @iamdongdantes and #Marian so happy! #Engaged"
"498625309453721600","""Vena Amori"" - the VEIN in the 4th ring finger, that's believed to lead to the heart. #DidYouKnow #wedding #engaged #bridegroom #cool #WOW"
"498623325367578624","#baking a #cake for #bay #levelstothis #lesbianswag #engaged #hergirlbetterthanurs http://t.co/QcVYUNi9Ny"
"498623108161761281","#baking a #cake for #bay #levelstothis #lesbianswag #engaged #hergirlbetterthanurs http://t.co/mOqaGSthop"
"498623017627713536","Check this out!

#ebay
http://t.co/JwoMDYvLqI #bride #groom #wedding #marriage #engaged #husband #wife #hitched #shower #gift #inlaws"
"498622882550153216","#baking a #cake for #bay #levelstothis #lesbianswag #engaged #hergirlbetterthanurs http://t.co/JptycCLgqI"
"498621954874966016","When a group comes together that's #engaged and wants to make a #difference... it can mean the world.  #ContinuousImprovement!"
"498620739956637697","#love #thinblueline #deputy  #engaged #firefighter #emt  #perfect http://t.co/HBbGpRmKpr"
"498620452781424642","&amp;&amp;its trueee 💑💏💋💍💎💒 #Engaged #HePutARingOnIt #SayyyWhaaat http://t.co/LTwhpBPrvb"
"498619883777556480","Emerald Green Ribbon Sash Bridal sash Wedding http://t.co/ybITKTLE98 via @Etsy #bride #engaged #wedding #green"
"498617815780589568","😍💍 #engaged @Alex_Gantt http://t.co/qbmEa685T9"
"498617619436802048","@McIlroyRory #engaged #bombs"
"498617263130693633","Such a sweet surprise #engaged #weddingyear #weddingplanning #feb21 #thankyou http://t.co/jlmGlQLr4i"
"498616552993075200","Found my dream dress and I can't wait to marry my best friend!!!! #isaidyes #wedding #engaged #yestothedress"
"498615676064784384","RT @grahams24: So happy for my brother and soon to be sister in law!! #Engaged!! http://t.co/Dvq4lV2YXx"
"498614659440996352","Found it today!!!! We cried and cried! Can't wait to marry my best friend! #engaged #051515… http://t.co/opjDPx6yfk"
"498612093382184960","So happy for my brother and soon to be sister in law!! #Engaged!! http://t.co/Dvq4lV2YXx"
"498610994009346048","Mailing the #wedding #invitations!! Can't wait for everyone to see how #gorgeous they are! #engaged… http://t.co/KfOfq1Q2bC"
"498610880515690496","#engaged"
"498609975904972801","RT @mmwhitt_15: I'm the luckiest girl alive!! #sooohappy #engaged http://t.co/QvazXRhb9t"
"498608276712742914","I know it's totally cliche, but had to take a pic of the bling! 💍💖#engaged http://t.co/o14G1W1y9z"
"498608053902532608","I can't wait to spend the rest of my life with this guy! #engaged #fiancé #love #forever http://t.co/HdYHgZ5Fte"
"498606561774690304","RT @NicoleH98: @ShelbyListon_ &amp; I saw Jeremiah the lifeguard and I had to propose!!😱💍😂 #engaged #WhatAreTheOdds"
"498606361756725248","@ShelbyListon_ &amp; I saw Jeremiah the lifeguard and I had to propose!!😱💍😂 #engaged #WhatAreTheOdds"
"498605997028802560","Thank you Julia for sending in your beautiful wedding Photos -a very special day #Engaged #wedding #couture... http://t.co/S4wryo9NqQ"
"498604791358951425","RT @DYFanatics: “@FeistyMomma: Congratulations @iamdongdantes and Marian Rivera #engaged #dongyan http://t.co/pZwEEQAJd1”"
"498604785814106113","RT @wedocracy: Meeting such cool #engaged couples. Congrats to you! Great to have a #groom in the house!… http://t.co/RsguESbn1f"
