"Heterosexuals will get married for invalid reasons. They fucked up, think it'll save a relationship but doesn't, etc.","irrelevant - marriage"
"@unbotheredx giiiiirl aint gotta tell me twice, who fucks to the sound of the lady married to Mr. Brown yUCK","irrelevant - marriage"
"@decadeplan Dude. I'm married. I get it.","irrelevant - marriage"
"Many I know of that are the same age as me or younger, are havin' babies or getting engaged/married. I'm waitin' for the $ to look right 1st","irrelevant - marriage"
"i was getting in 40hrs of gameplay BEFORE marriage bae so y cut thy out AFTER marriage you must not wanna be married long bae❗❗","irrelevant - marriage"
"So once I'm done with school and I'm settled down I want to get married and have kids","irrelevant - marriage"
"dnw reading all these rumors of jessica about to get married soon","irrelevant - marriage"
"RT @_DreadsAndGolds: Everybody got babies and getting married 👶","irrelevant - marriage"
"Jagged Edge - let gets married😂👰💍","irrelevant - marriage"
"We ain't gettin no younger we might as well do it, let's just get married","irrelevant - marriage"
"@lainefono_ @DPolataivao how about getting married at la salles chapel like daddy mr hurst?????lol","irrelevant - marriage"
"I just wanna be out of college, starting my career and married. That'd be fun","irrelevant - marriage"
"@gracedrakedille oh and with derrick I thought he was married too!! But he's al about the so called virgin in the house","irrelevant - marriage"
"I'll be married by da time i'm 60, popping Viagra, &amp; raising chickens. 😎 #BossLife","irrelevant - marriage"
"All my friends are either married (with kids) or pursuing careers elsewheres.","irrelevant - marriage"
"RT @BigBrotherLeak: Donny about Christine: ""Have you ever seen a married woman touch that many guys?"" Nicole: ""Nope."" #BB16","irrelevant - marriage"
"Watching the reality show Married at First Sight. It's ok to marry a stranger but gay couples that love each other can't get married? Oh.","irrelevant - marriage"
"RT @hmitchellll: @Nisstastic dude that's crazzzzy that means we definitely have to get married I mean even if we don't want to we have to :/","irrelevant - marriage"
"RT @marcmumper22: I think it's gonna be so cool one day to get married and have a family","irrelevant - marriage"
"RT @ItsMikeyMurphy: Anytime my sister says a boy is cute or somethin I say in my most cliché Chinese dad voice ""NO BOYFRIEND TIL MARRIED""","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/eqnUdDvg7y Remember FemiOlulana","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/ZmUF9pHOl1 Remember FemiOlulana","irrelevant - marriage"
"i hate going to sleep nd waking up alone everyda im ready to be married.","irrelevant - marriage"
"#Spoiler by TeleBuzz #JodhaAkbar | Akbar &amp; Atifa TO GET MARRIED &amp; Some REVELATIONS......
http://t.co/vcu1wvUr9I","irrelevant - marriage"
"I luv white girls fam in 20 years I will be married to a white girl that teaches at a elementary school &amp; wears a size 6 in jeans","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/5ig6ur5Z4x Remember FemiOlulana","irrelevant - marriage"
"“@dessrebis: cant wait to get married, buy a house, start my family and be successful 👪”","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/3IXL5oxkJU Remember FemiOlulana","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/jhZKVAuriC Remember FemiOlulana","irrelevant - marriage"
"RT @AmenaHoranYo_: WE'RE SO ALIKE ZEN LETS GET MARRIED ok
#MTVHottest One Direction http://t.co/Cb3mNibzKX","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/xyWP6Pn8NM Remember FemiOlulana","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/yGiLQjaU2U Remember FemiOlulana","irrelevant - marriage"
"RT @hofrench: I remember a company blood drive in NY. They solicited me, then changed their mind, amid awkward whispers, ""He's married to a…","irrelevant - marriage"
"RT @sensualgifs: basically me if i get married https://t.co/XjJ7YdHWLG","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/7aEnYEX89b Remember FemiOlulana","irrelevant - marriage"
"RT @FemaleClyde_: When I'm married we having sex 5 times a week fyt","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/VmTTfqzbKD Remember FemiOlulana","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/2SXaRVG7hW Remember FemiOlulana","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/K28AcS9UF6 Remember FemiOlulana","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/6UroiXIsYD Remember FemiOlulana","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/PsHEaIPuRP Remember FemiOlulana","irrelevant - marriage"
"RT @tinderfessions: Matched with a married chick in town for the night. Went straight to her hotel. Turns out she’s a squirter. #ThanksTind…","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/1ERtpOtlJq Remember FemiOlulana","irrelevant - marriage"
"RT @Samawada_: So I gave my married neighbor my number cause he said he was gonna hook me up with a job and this is what happened 😭😭 http:/…","irrelevant - marriage"
"RT @DRiefel: Everyone on Facebook is getting married or dumping ice water on their head #dafuq #FbProbs #Millennials","irrelevant - marriage"
"Son-in-law Edward Osim reveals why he married Goodluck Jonathan's daughter + Newly releas... http://t.co/PKDJxtJgNL Remember FemiOlulana","irrelevant - marriage"
